title,description,category,difficulty
"Đi dạo 10 phút","Ra ngoài đi dạo 10 phút để kích hoạt năng lượng. Nếu khó, chỉ cần đi quanh nhà 2-3 phút cũng được.",BEHAVIORAL,EASY
"Dọn bàn làm việc 10 phút","Chọn một góc nhỏ và dọn dẹp đúng 10 phút. Dừng lại khi hết thời gian.",BEHAVIORAL,EASY
"Gửi tin nhắn hỏi thăm","Gửi 1 tin nhắn ngắn hỏi thăm một người bạn/người thân.",SOCIAL,EASY
"Thực hành hít thở 3 phút","Dành 3 phút hít vào 4 nhịp - giữ 2 nhịp - thở ra 6 nhịp.",EMOTIONAL,EASY
"Viết 3 điều biết ơn","Viết ra 3 điều (dù nhỏ) mà bạn thấy biết ơn hôm nay.",COGNITIVE,EASY
"Tự nói lời tử tế","Viết 1 câu động viên bản thân như bạn đang nói với một người bạn.",COGNITIVE,EASY
"Thư giãn cơ 5 phút","Thả lỏng vai, cổ, tay. Co - giữ - thả từng nhóm cơ trong 5 phút.",EMOTIONAL,MEDIUM
"Đi bộ nhanh 15 phút","Đi bộ nhanh liên tục 15 phút, chú ý nhịp thở và nhịp chân.",BEHAVIORAL,MEDIUM
"Kết nối 10 phút","Gọi điện hoặc nhắn tin trao đổi 10 phút với người bạn tin tưởng.",SOCIAL,MEDIUM
"Thử làm một việc đã tránh né","Chọn 1 việc nhỏ bạn đang trì hoãn và làm 5-10 phút để bắt đầu.",BEHAVIORAL,MEDIUM
"Thử thách suy nghĩ","Ghi 1 suy nghĩ tiêu cực, sau đó viết 1 bằng chứng ủng hộ và 1 bằng chứng phản biện.",COGNITIVE,HARD
"Hoạt động có ý nghĩa","Lên kế hoạch 1 hoạt động có ý nghĩa (giúp đỡ ai đó, học 1 kỹ năng) và thực hiện 20 phút.",SOCIAL,HARD
