title,description,category,difficulty
"Gọi điện thoại ở nơi công cộng","Gọi một cuộc điện thoại ngắn ở nơi có người xung quanh, bỏ bớt hành vi an toàn và ghi lại điều thực sự xảy ra.",SOCIAL,EASY
"Hỏi đường một người lạ","Hỏi đường hoặc hỏi thông tin đơn giản từ một người lạ, sau đó so sánh dự đoán lo âu với kết quả thực tế.",SOCIAL,EASY
"Chào và bắt chuyện ngắn","Chào một người quen hoặc bắt đầu một câu trò chuyện ngắn, chú ý xem phản ứng thật có giống điều mình lo không.",SOCIAL,EASY
"Ăn uống ở nơi công cộng","Ăn hoặc uống một món nhỏ ở nơi công cộng và ghi lại mức sợ hãi, né tránh trước và sau khi thực hiện.",SOCIAL,MEDIUM
"Tham gia vào nhóm nhỏ","Tham gia một nhóm nhỏ trong vài phút, thử nói một câu ngắn và quan sát phản ứng thực tế của mọi người.",SOCIAL,MEDIUM
"Đặt câu hỏi trong lớp hoặc cuộc họp","Chuẩn bị và đặt một câu hỏi ngắn trong lớp học, cuộc họp hoặc nhóm trao đổi.",SOCIAL,MEDIUM
"Trình bày ý kiến trước nhóm nhỏ","Nêu một ý kiến cá nhân trước nhóm nhỏ, giảm hành vi an toàn như né mắt, nói quá nhỏ hoặc chuẩn bị quá mức.",SOCIAL,HARD
"Nhờ nhân viên hỗ trợ","Chủ động hỏi nhân viên cửa hàng, lễ tân hoặc bộ phận hỗ trợ về một thông tin đơn giản.",SOCIAL,EASY
"Từ chối một yêu cầu nhỏ","Tập nói lời từ chối lịch sự với một yêu cầu nhỏ, sau đó ghi lại điều người khác phản hồi thật sự.",SOCIAL,HARD
"Thực hiện một lỗi nhỏ có kiểm soát","Cố ý thực hiện một lỗi xã hội rất nhỏ và an toàn, ví dụ hỏi lại thông tin, để kiểm chứng nỗi sợ bị đánh giá.",SOCIAL,HARD
